ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?,KMeans_Cluster,DBSCAN_Cluster
1,28143,0,1,1,1,174,1,0,0,7000,0,1,0
2,19244,0,1,1,1,215,2,0,0,6968,0,1,0
3,41354,0,1,1,1,4123,4,0,0,7034,0,1,0
4,14776,0,1,1,1,500,1,0,0,6952,0,1,0
6,16420,0,1,1,1,0,0,0,0,6942,0,1,0
7,84914,0,3,1,1,27482,25,0,0,6994,0,0,-1
11,40091,0,2,1,1,7278,10,0,0,6959,0,1,1
13,43382,0,2,1,1,11150,20,0,0,6924,0,0,-1
14,43097,0,1,1,1,3258,6,0,0,6918,0,1,0
15,17648,0,1,1,1,0,0,0,0,6912,0,1,0
16,28495,0,4,1,1,49442,15,0,0,6912,1,0,3
17,51890,0,4,1,1,48963,16,0,0,6910,1,0,3
18,13958,0,1,1,1,4291,5,0,0,6905,1,1,0
19,91473,0,3,1,1,27408,17,0,0,6903,1,0,2
20,23354,0,3,1,1,10447,5,0,0,6896,1,0,-1
26,20726,0,1,1,1,1375,4,0,0,7924,0,1,0
28,8828,0,1,1,1,0,0,0,0,7914,0,1,0
31,177926,0,3,1,1,20797,13,0,0,7886,0,0,-1
32,10021,0,1,1,1,0,0,0,0,7879,0,1,0
34,18047,0,1,1,1,100,1,0,0,7868,0,1,0
35,43832,0,1,1,1,0,0,0,0,7865,0,1,0
39,59990,0,3,1,1,27878,17,0,0,7854,1,0,2
40,2176,0,1,1,1,0,0,0,0,7847,1,1,0
42,10470,0,4,1,1,38094,26,0,0,7840,1,0,-1
45,121260,0,3,1,1,18493,18,0,0,7808,0,0,2
47,92336,0,2,1,1,11214,6,0,0,6884,0,0,-1
52,1300,0,1,1,1,370,1,0,0,6868,0,1,0
55,38348,0,1,1,1,0,0,0,0,6861,0,1,0
56,14448,0,1,1,1,1625,6,0,0,6856,0,1,0
57,75971,0,4,1,1,34339,14,0,0,6869,0,0,3
59,38077,0,3,1,1,34024,8,0,0,6837,0,0,-1
61,134457,0,3,1,1,15588,14,0,0,6861,0,0,2
62,19918,0,1,1,1,17601,11,0,0,6863,0,1,0
63,10120,0,1,1,1,0,0,0,0,6864,0,1,0
65,80250,0,1,1,1,895,2,0,0,6833,0,1,0
67,9375,0,1,1,1,1750,7,0,0,6826,0,1,0
68,83237,0,4,1,1,35287,18,0,0,6837,0,0,3
71,47457,0,3,1,1,12621,16,0,0,7766,1,0,2
76,123867,0,3,1,1,25308,17,0,0,7759,0,0,2
78,129871,0,3,1,1,15776,22,0,0,7752,0,0,2
79,109380,0,1,1,1,7537,16,0,0,7749,0,0,-1
80,111157,0,4,1,1,32883,19,0,0,7771,0,0,3
81,49238,0,4,1,1,38037,18,0,0,7801,1,0,3
83,4340,0,1,1,1,32685,5,0,0,7733,1,1,-1
85,8454,0,1,1,1,498,9,0,0,6821,0,1,0
86,61990,0,1,1,1,1625,6,0,0,6833,0,1,0
87,24093,0,1,1,1,1750,7,0,0,6819,0,1,0
89,40284,0,1,1,1,7719,5,0,0,6827,1,1,0
95,78629,0,4,1,1,36679,25,0,0,6817,1,0,-1
98,16796,0,1,1,1,2875,16,0,0,6773,0,1,0
99,57346,0,1,1,1,5560,23,0,0,6766,0,0,-1
100,102062,0,4,1,1,44247,16,0,0,6758,0,0,3
101,22324,0,1,1,1,1375,4,0,0,6753,0,1,0
102,64824,0,3,1,1,20184,13,0,0,6770,1,0,2
104,8053,0,1,1,1,0,0,0,0,6750,1,1,0
105,35119,0,1,1,1,0,0,0,0,6749,0,1,0
107,34327,0,1,1,1,0,0,0,0,6745,0,1,0
110,43498,0,1,1,1,0,0,0,0,6759,1,1,0
113,181019,0,3,1,1,18415,15,0,0,7714,0,0,-1
116,56906,0,1,1,1,2015,13,0,0,7707,1,1,0
118,67018,0,3,1,1,23260,25,0,0,7698,0,0,-1
119,143967,0,2,1,1,7346,11,0,0,7689,0,0,-1
121,122705,0,3,1,1,24222,15,0,0,7682,1,0,2
122,16583,0,1,1,1,2625,7,0,0,7682,1,1,0
123,77540,0,1,1,1,1000,1,0,0,7683,0,1,0
126,47258,0,3,1,1,24768,19,0,0,7659,1,0,2
127,77699,0,4,1,1,42775,13,0,0,7654,0,0,3
131,48333,0,2,1,1,10123,14,0,0,6737,1,0,1
132,142175,0,4,1,1,37461,22,0,0,6732,1,0,3
133,17469,0,1,1,1,0,0,0,0,6730,1,1,0
135,145074,0,1,1,1,8000,4,0,0,6746,1,1,-1
137,125948,0,3,1,1,15155,15,0,0,6761,1,0,2
139,129298,0,4,1,1,29099,15,0,0,6722,0,0,3
141,160447,0,1,1,1,8578,25,0,0,6716,1,0,-1
142,15472,0,1,1,1,3500,14,0,0,6715,0,1,0
143,39628,0,1,1,1,0,0,0,0,6711,0,1,0
144,6112,0,1,1,1,0,0,0,0,6709,0,1,0
146,126787,0,4,1,1,35021,17,0,0,6701,0,0,3
147,41547,0,3,1,1,16857,17,0,0,6697,0,0,2
149,18707,0,1,1,1,100,1,0,0,6693,0,1,0
151,84631,0,3,1,1,20415,17,0,0,6736,0,0,2
152,24868,0,1,1,1,205,5,0,0,6689,0,1,0
156,87474,0,1,1,1,4581,15,0,0,7634,0,1,0
157,48707,0,4,1,1,37655,14,0,0,7631,1,0,3
160,44182,0,3,1,1,12313,12,0,0,7619,1,0,2
162,46823,0,1,1,1,5860,12,0,0,7613,0,1,0
163,69110,0,3,1,1,18500,19,0,0,7598,0,0,2
166,10302,0,4,1,1,30298,19,0,0,7591,1,0,-1
167,80331,0,3,1,1,15489,18,0,0,7634,1,0,2
168,69882,0,1,1,1,180,6,0,0,7582,0,1,0
169,95658,0,1,1,1,5269,18,0,0,7584,0,0,-1
174,35820,0,1,1,1,0,0,0,0,7575,0,1,0
177,120941,0,4,1,1,42301,21,0,0,7588,0,0,-1
181,60230,0,1,1,1,500,1,0,0,7544,1,1,0
183,48145,0,1,1,1,10735,27,0,0,7540,0,0,-1
187,8933,0,2,1,1,8860,14,0,0,7533,1,1,1
188,49885,0,3,1,1,23640,17,0,0,7533,0,0,2
189,89999,0,3,1,1,11694,13,0,0,7530,0,0,2
198,24523,0,1,1,1,100,1,0,0,7493,1,1,0
199,134601,0,1,1,1,0,0,0,0,7493,0,1,-1
201,108341,0,3,1,1,19670,21,0,0,7488,0,0,2
204,41385,0,4,1,1,26948,14,0,0,7481,1,0,3
206,16230,0,1,1,1,486,2,0,0,7477,0,1,0
208,37348,0,1,1,1,0,0,0,0,7472,0,1,0
209,51468,0,1,1,1,2278,9,0,0,7460,0,1,0
212,27381,0,3,1,1,18009,18,0,0,7524,1,0,2
213,6854,0,1,1,1,0,0,0,0,7467,0,1,0
215,31588,0,1,1,1,2947,8,0,0,7463,0,1,0
217,8298,0,3,1,1,20087,15,0,0,7498,1,0,2
219,114356,0,4,1,1,27308,14,0,0,7456,0,0,3
220,1344,0,1,1,1,1134,9,0,0,7498,0,1,0
221,59797,0,1,1,1,7069,4,0,0,7444,0,1,0
222,189053,0,3,1,1,24156,22,0,0,7439,1,0,-1
223,143481,0,4,1,1,45891,15,0,0,7437,0,0,-1
227,20203,0,1,1,1,750,6,0,0,7467,0,1,0
228,193976,0,3,1,1,10849,14,0,0,7416,0,0,-1
229,98224,0,2,1,1,5570,11,0,0,7467,0,0,-1
234,133309,0,3,1,1,23987,13,0,0,7415,1,0,2
236,22074,0,1,1,1,6039,15,0,0,7404,0,1,0
237,24051,0,2,1,1,8764,13,0,0,7395,1,1,1
238,11449,0,2,1,1,9057,13,0,0,7397,1,1,1
243,15525,0,1,1,1,3853,6,0,0,7406,0,1,0
245,2075,0,2,1,1,5002,14,0,0,7374,1,1,1
251,15221,0,1,1,1,4425,9,0,0,7361,1,1,0
254,62882,0,1,1,1,1925,8,0,0,7375,0,1,0
255,30015,0,1,1,1,5875,32,0,0,7341,0,0,-1
257,45225,0,3,1,1,14711,15,0,0,7339,1,0,2
258,96098,0,1,1,1,12500,4,0,0,7339,1,1,-1
261,25279,0,2,1,1,14938,26,0,0,7327,1,0,-1
265,70730,0,1,1,1,1319,12,0,0,7316,0,1,0
266,164613,0,2,1,1,11095,13,0,0,7375,0,0,-1
269,105769,0,3,1,1,23097,16,0,0,7345,1,0,2
270,35900,0,1,1,1,0,0,0,0,7304,0,1,0
271,43088,0,1,1,1,4000,1,0,0,7345,0,1,0
274,145726,0,3,1,1,19019,15,0,0,7292,1,0,2
278,51250,0,1,1,1,0,0,0,0,7283,0,1,0
280,12895,0,1,1,1,0,0,0,0,7277,0,1,0
281,120073,0,3,1,1,12423,29,0,0,7276,1,0,-1
282,2003,0,1,1,1,980,2,0,0,7274,0,1,0
284,168515,0,1,1,1,4600,4,0,0,7269,0,1,-1
288,79211,0,4,1,1,36776,14,0,0,7260,1,0,3
291,62998,0,2,1,1,11326,24,0,0,7253,0,0,-1
293,45586,0,4,1,1,37459,15,0,0,7246,0,0,3
297,12195,0,1,1,1,3875,17,0,0,7229,0,1,0
298,16622,0,1,1,1,0,0,0,0,7229,0,1,0
299,141813,0,4,1,1,39743,14,0,0,7254,0,0,3
303,35945,0,1,1,1,0,0,0,0,7220,0,1,0
305,7061,0,1,1,1,7100,12,0,0,7218,0,1,0
308,125465,0,3,1,1,14750,9,0,0,7206,0,0,2
310,123370,0,1,1,1,7478,16,0,0,7197,0,0,-1
312,112969,0,2,1,1,7572,7,0,0,7192,0,0,-1
314,179433,0,4,1,1,30476,15,0,0,7187,0,0,-1
315,20746,0,4,1,1,37534,17,0,0,7185,1,0,3
316,61455,0,4,1,1,28765,17,0,0,7183,1,0,3
320,16928,0,1,1,1,1000,1,0,0,7173,0,1,0
321,65316,0,1,1,1,3917,10,0,0,7254,0,1,0
323,52060,0,1,1,1,6500,3,0,0,7162,1,1,0
324,84700,0,3,1,1,13544,17,0,0,7162,0,0,2
328,50325,0,3,1,1,11930,14,0,0,7155,0,0,2
330,73849,0,2,1,1,11793,21,0,0,7250,0,0,-1
333,65573,0,1,1,1,3875,23,0,0,7130,0,0,-1
335,47958,0,1,1,1,0,0,0,0,7130,0,1,0
338,42363,0,1,1,1,0,0,0,0,7120,1,1,0
339,133370,0,4,1,1,44299,18,0,0,7101,1,0,-1
342,34956,0,1,1,1,0,0,0,0,7172,0,1,0
343,46963,0,1,1,1,1500,5,0,0,7117,0,1,0
344,55788,0,3,1,1,24831,12,0,0,7314,0,0,2
347,38718,0,1,1,1,0,0,0,0,7314,0,1,0
349,54005,0,1,1,1,1500,5,0,0,7099,0,1,0
350,66863,0,4,1,1,36532,9,0,0,7099,1,0,3
351,93045,0,3,1,1,17636,15,0,0,7092,0,0,2
353,151301,0,4,1,1,37772,14,0,0,7092,0,0,3
354,87938,0,1,1,1,11268,2,0,0,7085,1,1,0
355,15283,0,1,1,1,1250,3,0,0,7132,0,1,0
356,105423,0,3,1,1,20802,14,0,0,7078,0,0,2
358,13680,0,1,1,1,0,0,0,0,7073,1,1,0
360,25313,0,2,1,1,7491,13,0,0,7064,0,1,1
363,51088,0,1,1,1,0,0,0,0,7057,0,1,0
364,95305,0,1,1,1,3189,13,0,0,7054,0,1,0
366,11660,0,1,1,1,140,1,0,0,7050,0,1,0
368,16200,0,1,1,1,160,1,0,0,7043,0,1,0
369,38227,0,2,1,1,8612,13,0,0,7036,0,1,1
371,53985,0,1,1,1,1000,1,0,0,7029,1,1,0
372,14414,0,1,1,1,0,0,0,0,7024,0,1,0
373,44457,0,1,1,1,225,3,0,0,7026,0,1,0
375,138020,0,1,1,1,6568,15,0,0,7024,1,0,-1
378,149678,0,1,1,1,0,0,0,0,7022,0,1,-1
379,15113,0,2,1,1,10574,19,0,0,7017,1,0,1
383,24598,0,1,1,1,0,0,0,0,7040,0,1,0
384,76150,0,4,1,1,36907,17,0,0,6998,0,0,3
390,67086,0,3,1,1,18157,16,0,0,6974,0,0,2
391,35969,0,2,1,1,11665,21,0,0,6977,0,0,-1
393,53790,0,4,1,1,28717,19,0,0,8296,1,0,3
395,91939,0,1,1,1,1244,8,0,0,8296,0,1,0
397,54842,0,3,1,1,20792,15,0,0,8296,1,0,2
399,16999,0,1,1,1,140,1,0,0,8296,0,1,0
400,114713,0,1,1,1,7142,18,0,0,8296,0,0,-1
401,1612,0,1,1,1,955,9,0,0,8296,0,1,0
402,97763,0,1,1,1,2000,9,0,0,8296,0,1,0
403,15129,0,1,1,1,0,0,0,0,8296,0,1,0
404,15669,0,1,1,1,1205,4,0,0,8296,0,1,0
405,26720,0,1,1,1,913,3,0,0,8296,0,1,0
408,127297,0,2,1,1,8510,12,0,0,8296,0,0,-1
409,8927,0,1,1,1,0,0,0,0,8296,0,1,0
412,6458,0,1,1,1,0,0,0,0,8296,0,1,0
414,5581,0,1,1,1,0,0,0,0,8296,0,1,0
415,10732,0,1,1,1,1296,6,0,0,8296,0,1,0
417,68963,0,4,1,1,37723,15,0,0,8296,0,0,3
420,58452,0,1,1,1,0,0,0,0,8296,0,1,0
421,109087,0,2,1,1,10462,16,0,0,8296,1,0,-1
422,68286,0,3,1,1,22831,13,0,0,8296,1,0,2
423,68464,0,1,1,1,240,3,0,0,8296,1,1,0
427,23529,0,1,1,1,500,1,0,0,8296,0,1,0
428,190295,0,4,1,1,3501,15,0,0,8296,0,0,-1
432,60493,0,1,1,1,9000,1,0,0,8289,0,1,0
435,78028,0,4,1,1,36269,24,0,0,8289,0,0,-1
437,17575,0,1,1,1,0,0,0,0,8289,1,1,0
438,50431,0,1,1,1,1000,1,0,0,8289,1,1,0
441,2494,0,1,1,1,0,0,0,0,8289,0,1,0
442,96031,0,4,1,1,46588,21,0,0,8289,0,0,-1
444,50052,0,4,1,1,49383,13,0,0,8289,1,0,-1
445,13381,0,1,1,1,1000,8,0,0,8289,0,1,0
446,25123,0,1,1,1,2030,6,0,0,8289,0,1,0
449,24038,0,2,1,1,6290,14,0,0,8289,0,1,1
453,14732,0,1,1,1,100,1,0,0,8289,0,1,0
456,175461,0,4,1,1,40997,14,0,0,8289,1,0,-1
457,52953,0,1,1,1,500,1,0,0,8289,0,1,0
458,182291,0,3,1,1,24155,22,0,0,8289,0,0,-1
461,22772,0,1,1,1,0,0,0,0,8289,0,1,0
463,158483,0,2,1,1,9018,11,0,0,8289,0,0,-1
464,43285,0,4,1,1,28613,14,0,0,8252,1,0,3
465,52980,0,3,1,1,17078,14,0,0,8237,0,0,2
466,74342,0,1,1,1,4389,12,0,0,8228,0,1,0
467,139849,0,3,1,1,19946,15,0,0,8228,1,0,2
468,26080,0,2,1,1,9872,13,0,0,8228,1,0,1
469,29469,0,1,1,1,2522,4,0,0,8228,0,1,0
470,189252,0,1,1,1,2991,15,0,0,8228,0,0,-1
474,83590,0,1,1,1,3708,22,0,0,8228,0,0,-1
476,5600,0,1,1,1,125,1,0,0,8228,0,1,0
486,38716,0,2,1,1,8253,21,0,0,8114,0,0,-1
491,40645,0,3,1,1,18348,13,0,0,8067,1,0,2
496,2701,0,1,1,1,5000,10,0,0,8002,1,1,0
499,12742,0,1,1,1,0,0,0,0,7966,0,1,0
501,10994,0,1,1,1,1250,3,0,0,8007,0,1,0
502,2318,0,2,1,1,8747,14,0,0,7945,1,1,1
503,11070,0,1,1,1,0,0,0,0,7939,1,1,0
